epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
119,140.763,0.80672,0.51361,1.21219,0.97239,0.9884,0.98821,0.8274,0.71226,0.48114,1.22643,0.00127752,0.00127752,0.00127752
120,141.925,0.80887,0.52455,1.19171,0.95215,0.99109,0.98782,0.85066,0.69787,0.48353,1.23364,0.00127422,0.00127422,0.00127422
121,143.114,0.82921,0.53105,1.19509,0.979,0.98804,0.99113,0.84445,0.69788,0.46678,1.19299,0.00127092,0.00127092,0.00127092
122,144.276,0.78711,0.50163,1.16404,0.97008,0.98701,0.99144,0.82558,0.71016,0.5105,1.20719,0.00126762,0.00126762,0.00126762
123,145.42,0.78795,0.51098,1.1978,0.96976,0.98873,0.98945,0.85862,0.69716,0.48826,1.18562,0.00126432,0.00126432,0.00126432
124,147.067,0.79055,0.51361,1.20019,0.98333,0.97717,0.99295,0.8185,0.82475,0.48999,1.27828,0.00126102,0.00126102,0.00126102
125,148.208,0.7776,0.49499,1.19153,0.97295,0.98644,0.99179,0.83921,0.70829,0.46531,1.22473,0.00125772,0.00125772,0.00125772
126,149.348,0.77444,0.50374,1.19086,0.97872,0.99192,0.99273,0.83749,0.72044,0.49432,1.23993,0.00125442,0.00125442,0.00125442
127,150.495,0.74844,0.49493,1.1934,0.9836,0.99747,0.99181,0.86062,0.67919,0.44771,1.18135,0.00125112,0.00125112,0.00125112
128,151.664,0.82758,0.51488,1.22375,0.95538,0.97619,0.98729,0.83812,0.7222,0.48329,1.18605,0.00124782,0.00124782,0.00124782
129,152.811,0.86083,0.51131,1.24664,0.96064,0.99682,0.98907,0.81288,0.78382,0.50468,1.23742,0.00124452,0.00124452,0.00124452
130,153.956,0.82019,0.49509,1.23268,0.96027,0.98105,0.9871,0.82679,0.74865,0.47617,1.20025,0.00124121,0.00124121,0.00124121
131,155.101,0.82826,0.51644,1.24028,0.97021,0.99018,0.99132,0.81806,0.74084,0.51418,1.22619,0.00123791,0.00123791,0.00123791
132,156.269,0.79927,0.49947,1.20057,0.96631,0.99554,0.98903,0.85606,0.70055,0.47136,1.1836,0.00123461,0.00123461,0.00123461
133,157.411,0.79558,0.51175,1.20807,0.96282,0.99373,0.9888,0.86657,0.66656,0.47574,1.14829,0.00123131,0.00123131,0.00123131
134,158.595,0.75209,0.4907,1.17876,0.97943,0.99554,0.9923,0.8081,0.73784,0.47494,1.20984,0.00122801,0.00122801,0.00122801
135,159.742,0.80642,0.5204,1.19192,0.95796,1,0.99126,0.85691,0.66938,0.46548,1.1544,0.00122471,0.00122471,0.00122471
136,160.912,0.74593,0.49592,1.15559,0.97086,0.98873,0.98719,0.83476,0.68009,0.4553,1.17649,0.00122141,0.00122141,0.00122141
137,162.063,0.74876,0.48278,1.1422,0.96194,0.99272,0.9871,0.86483,0.64283,0.45564,1.13786,0.00121811,0.00121811,0.00121811
138,163.223,0.77398,0.49621,1.18261,0.97427,0.9958,0.98755,0.85802,0.61961,0.43334,1.15706,0.00121481,0.00121481,0.00121481
139,164.367,0.72079,0.4795,1.14756,0.97099,0.98994,0.98916,0.86712,0.66554,0.44168,1.16539,0.00121151,0.00121151,0.00121151
140,165.541,0.72171,0.47065,1.15745,0.98052,0.98257,0.99024,0.84459,0.68936,0.44833,1.19184,0.00120821,0.00120821,0.00120821
141,166.692,0.77279,0.49325,1.17127,0.97236,0.9932,0.99067,0.83676,0.72542,0.46925,1.19199,0.00120491,0.00120491,0.00120491
142,167.844,0.7752,0.48857,1.15187,0.97985,1,0.99054,0.84739,0.64118,0.43937,1.14234,0.00120161,0.00120161,0.00120161
143,168.994,0.74691,0.47175,1.17769,0.97004,0.99658,0.98677,0.82652,0.74076,0.46769,1.22737,0.00119831,0.00119831,0.00119831
144,170.149,0.75387,0.48401,1.17942,0.97833,0.99312,0.98708,0.84854,0.73771,0.48253,1.22826,0.00119501,0.00119501,0.00119501
145,171.312,0.74099,0.48347,1.16008,0.96399,0.99917,0.98994,0.83043,0.76593,0.4883,1.21762,0.0011917,0.0011917,0.0011917
146,172.471,0.79383,0.48847,1.16122,0.97525,0.99135,0.99214,0.84562,0.71056,0.48132,1.19599,0.0011884,0.0011884,0.0011884
147,173.628,0.74326,0.47455,1.18286,0.97576,0.98768,0.99142,0.86167,0.63084,0.43311,1.16928,0.0011851,0.0011851,0.0011851
148,174.8,0.74186,0.48185,1.1783,0.96973,0.99399,0.99208,0.83031,0.73436,0.46857,1.22346,0.0011818,0.0011818,0.0011818
149,175.96,0.7108,0.46426,1.18119,0.97838,0.99606,0.99003,0.86256,0.61476,0.42366,1.12481,0.0011785,0.0011785,0.0011785
150,177.116,0.75534,0.46625,1.15693,0.97163,0.99213,0.98983,0.86165,0.6995,0.45524,1.23125,0.0011752,0.0011752,0.0011752
151,178.264,0.7696,0.48481,1.18964,0.98299,0.99554,0.99238,0.85501,0.67796,0.41359,1.13131,0.0011719,0.0011719,0.0011719
152,179.41,0.75499,0.48545,1.15754,0.96534,0.99951,0.99024,0.86381,0.66068,0.43825,1.15016,0.0011686,0.0011686,0.0011686
153,180.555,0.73553,0.46988,1.15049,0.96187,0.99775,0.98943,0.85811,0.70421,0.42726,1.19723,0.0011653,0.0011653,0.0011653
154,181.713,0.72517,0.47043,1.10388,0.97334,0.99418,0.99028,0.86761,0.67526,0.43993,1.1458,0.001162,0.001162,0.001162
